"","trial","ppt","A","B","y"
"229",1,20,"A1","B1",1
"230",2,20,"A1","B1",1
"231",3,20,"A1","B1",1
"232",4,20,"A1","B1",1
"233",5,20,"A1","B1",1
"234",6,20,"A1","B1",1
"235",7,20,"A1","B1",1
"236",8,20,"A1","B1",1
"237",9,20,"A1","B1",1
"238",10,20,"A1","B1",1
"239",11,20,"A1","B1",1
"240",12,20,"A1","B1",1
"241",1,21,"A1","B1",1
"242",2,21,"A1","B1",1
"243",3,21,"A1","B1",1
"244",4,21,"A1","B1",1
"245",5,21,"A1","B1",1
"246",6,21,"A1","B1",1
"247",7,21,"A1","B1",1
"248",8,21,"A1","B1",1
"249",9,21,"A1","B1",1
"250",10,21,"A1","B1",1
"251",11,21,"A1","B1",1
"252",12,21,"A1","B1",1
"253",1,22,"A1","B1",1
"254",2,22,"A1","B1",0
"255",3,22,"A1","B1",1
"256",4,22,"A1","B1",1
"257",5,22,"A1","B1",1
"258",6,22,"A1","B1",1
"259",7,22,"A1","B1",1
"260",8,22,"A1","B1",1
"261",9,22,"A1","B1",1
"262",10,22,"A1","B1",1
"263",11,22,"A1","B1",1
"264",12,22,"A1","B1",1
"265",1,23,"A1","B1",1
"266",2,23,"A1","B1",1
"267",3,23,"A1","B1",1
"268",4,23,"A1","B1",1
"269",5,23,"A1","B1",1
"270",6,23,"A1","B1",0
"271",7,23,"A1","B1",1
"272",8,23,"A1","B1",0
"273",9,23,"A1","B1",1
"274",10,23,"A1","B1",1
"275",11,23,"A1","B1",1
"276",12,23,"A1","B1",1
"277",1,24,"A1","B1",1
"278",2,24,"A1","B1",1
"279",3,24,"A1","B1",1
"280",4,24,"A1","B1",1
"281",5,24,"A1","B1",1
"282",6,24,"A1","B1",1
"283",7,24,"A1","B1",1
"284",8,24,"A1","B1",1
"285",9,24,"A1","B1",1
"286",10,24,"A1","B1",1
"287",11,24,"A1","B1",1
"288",12,24,"A1","B1",0
"289",1,25,"A1","B1",0
"290",2,25,"A1","B1",1
"291",3,25,"A1","B1",1
"292",4,25,"A1","B1",0
"293",5,25,"A1","B1",1
"294",6,25,"A1","B1",1
"295",7,25,"A1","B1",1
"296",8,25,"A1","B1",0
"297",9,25,"A1","B1",0
"298",10,25,"A1","B1",0
"299",11,25,"A1","B1",0
"300",12,25,"A1","B1",1
"301",1,26,"A1","B1",1
"302",2,26,"A1","B1",0
"303",3,26,"A1","B1",1
"304",4,26,"A1","B1",1
"305",5,26,"A1","B1",1
"306",6,26,"A1","B1",1
"307",7,26,"A1","B1",0
"308",8,26,"A1","B1",1
"309",9,26,"A1","B1",1
"310",10,26,"A1","B1",1
"311",11,26,"A1","B1",1
"312",12,26,"A1","B1",1
"313",1,27,"A1","B1",1
"314",2,27,"A1","B1",1
"315",3,27,"A1","B1",0
"316",4,27,"A1","B1",1
"317",5,27,"A1","B1",0
"318",6,27,"A1","B1",0
"319",7,27,"A1","B1",1
"320",8,27,"A1","B1",0
"321",9,27,"A1","B1",0
"322",10,27,"A1","B1",1
"323",11,27,"A1","B1",1
"324",12,27,"A1","B1",0
"325",1,28,"A1","B1",0
"326",2,28,"A1","B1",1
"327",3,28,"A1","B1",1
"328",4,28,"A1","B1",0
"329",5,28,"A1","B1",0
"330",6,28,"A1","B1",1
"331",7,28,"A1","B1",0
"332",8,28,"A1","B1",1
"333",9,28,"A1","B1",0
"334",10,28,"A1","B1",1
"335",11,28,"A1","B1",1
"336",12,28,"A1","B1",1
"337",1,29,"A1","B1",1
"338",2,29,"A1","B1",1
"339",3,29,"A1","B1",1
"340",4,29,"A1","B1",1
"341",5,29,"A1","B1",1
"342",6,29,"A1","B1",1
"343",7,29,"A1","B1",0
"344",8,29,"A1","B1",1
"345",9,29,"A1","B1",0
"346",10,29,"A1","B1",1
"347",11,29,"A1","B1",1
"348",12,29,"A1","B1",1
"349",1,30,"A1","B1",1
"350",2,30,"A1","B1",1
"351",3,30,"A1","B1",1
"352",4,30,"A1","B1",1
"353",5,30,"A1","B1",0
"354",6,30,"A1","B1",1
"355",7,30,"A1","B1",1
"356",8,30,"A1","B1",1
"357",9,30,"A1","B1",1
"358",10,30,"A1","B1",1
"359",11,30,"A1","B1",1
"360",12,30,"A1","B1",1
"361",1,1,"A2","B1",1
"362",2,1,"A2","B1",1
"363",3,1,"A2","B1",0
"364",4,1,"A2","B1",1
"365",5,1,"A2","B1",1
"366",6,1,"A2","B1",1
"367",7,1,"A2","B1",1
"368",8,1,"A2","B1",1
"369",9,1,"A2","B1",1
"370",10,1,"A2","B1",1
"371",11,1,"A2","B1",1
"372",12,1,"A2","B1",1
"373",1,2,"A2","B1",1
"374",2,2,"A2","B1",1
"375",3,2,"A2","B1",1
"376",4,2,"A2","B1",1
"377",5,2,"A2","B1",1
"378",6,2,"A2","B1",1
"379",7,2,"A2","B1",1
"380",8,2,"A2","B1",1
"381",9,2,"A2","B1",1
"382",10,2,"A2","B1",0
"383",11,2,"A2","B1",1
"384",12,2,"A2","B1",1
"385",1,3,"A2","B1",1
"386",2,3,"A2","B1",1
"387",3,3,"A2","B1",0
"388",4,3,"A2","B1",1
"389",5,3,"A2","B1",1
"390",6,3,"A2","B1",1
"391",7,3,"A2","B1",1
"392",8,3,"A2","B1",1
"393",9,3,"A2","B1",1
"394",10,3,"A2","B1",1
"395",11,3,"A2","B1",0
"396",12,3,"A2","B1",0
"397",1,4,"A2","B1",0
"398",2,4,"A2","B1",1
"399",3,4,"A2","B1",1
"400",4,4,"A2","B1",1
"401",5,4,"A2","B1",0
"402",6,4,"A2","B1",0
"403",7,4,"A2","B1",0
"404",8,4,"A2","B1",1
"405",9,4,"A2","B1",0
"406",10,4,"A2","B1",1
"407",11,4,"A2","B1",0
"408",12,4,"A2","B1",1
"409",1,5,"A2","B1",0
"410",2,5,"A2","B1",1
"411",3,5,"A2","B1",1
"412",4,5,"A2","B1",0
"413",5,5,"A2","B1",1
"414",6,5,"A2","B1",0
"415",7,5,"A2","B1",0
"416",8,5,"A2","B1",1
"417",9,5,"A2","B1",0
"418",10,5,"A2","B1",1
"419",11,5,"A2","B1",0
"420",12,5,"A2","B1",0
"421",1,6,"A2","B1",1
"422",2,6,"A2","B1",1
"423",3,6,"A2","B1",0
"424",4,6,"A2","B1",0
"425",5,6,"A2","B1",1
"426",6,6,"A2","B1",1
"427",7,6,"A2","B1",0
"428",8,6,"A2","B1",0
"429",9,6,"A2","B1",1
"430",10,6,"A2","B1",1
"431",11,6,"A2","B1",1
"432",12,6,"A2","B1",0
"433",1,7,"A2","B1",0
"434",2,7,"A2","B1",1
"435",3,7,"A2","B1",0
"436",4,7,"A2","B1",1
"437",5,7,"A2","B1",1
"438",6,7,"A2","B1",1
"439",7,7,"A2","B1",0
"440",8,7,"A2","B1",1
"441",9,7,"A2","B1",1
"442",10,7,"A2","B1",1
"443",11,7,"A2","B1",1
"444",12,7,"A2","B1",1
"445",1,8,"A2","B1",0
"446",2,8,"A2","B1",0
"447",3,8,"A2","B1",1
"448",4,8,"A2","B1",1
"449",5,8,"A2","B1",1
"450",6,8,"A2","B1",1
"451",7,8,"A2","B1",0
"452",8,8,"A2","B1",1
"453",9,8,"A2","B1",0
"454",10,8,"A2","B1",0
"455",11,8,"A2","B1",0
"456",12,8,"A2","B1",0
"457",1,9,"A2","B1",0
"458",2,9,"A2","B1",0
"459",3,9,"A2","B1",1
"460",4,9,"A2","B1",1
"461",5,9,"A2","B1",1
"462",6,9,"A2","B1",1
"463",7,9,"A2","B1",0
"464",8,9,"A2","B1",0
"465",9,9,"A2","B1",0
"466",10,9,"A2","B1",1
"467",11,9,"A2","B1",0
"468",12,9,"A2","B1",0
"469",1,10,"A2","B1",1
"470",2,10,"A2","B1",1
"471",3,10,"A2","B1",0
"472",4,10,"A2","B1",1
"473",5,10,"A2","B1",1
"474",6,10,"A2","B1",1
"475",7,10,"A2","B1",1
"476",8,10,"A2","B1",1
"477",9,10,"A2","B1",1
"478",10,10,"A2","B1",1
"479",11,10,"A2","B1",0
"480",12,10,"A2","B1",1
"481",1,11,"A2","B1",0
"482",2,11,"A2","B1",0
"483",3,11,"A2","B1",0
"484",4,11,"A2","B1",0
"485",5,11,"A2","B1",0
"486",6,11,"A2","B1",0
"487",7,11,"A2","B1",0
"488",8,11,"A2","B1",1
"489",9,11,"A2","B1",0
"490",10,11,"A2","B1",1
"491",11,11,"A2","B1",0
"492",12,11,"A2","B1",0
"493",1,12,"A2","B1",1
"494",2,12,"A2","B1",1
"495",3,12,"A2","B1",1
"496",4,12,"A2","B1",1
"497",5,12,"A2","B1",1
"498",6,12,"A2","B1",1
"499",7,12,"A2","B1",1
"500",8,12,"A2","B1",1
"501",9,12,"A2","B1",1
"502",10,12,"A2","B1",1
"503",11,12,"A2","B1",0
"504",12,12,"A2","B1",1
"505",1,13,"A2","B1",0
"506",2,13,"A2","B1",1
"507",3,13,"A2","B1",0
"508",4,13,"A2","B1",0
"509",5,13,"A2","B1",1
"510",6,13,"A2","B1",1
"511",7,13,"A2","B1",0
"512",8,13,"A2","B1",1
"513",9,13,"A2","B1",0
"514",10,13,"A2","B1",1
"515",11,13,"A2","B1",1
"516",12,13,"A2","B1",1
"517",1,14,"A2","B1",0
"518",2,14,"A2","B1",1
"519",3,14,"A2","B1",1
"520",4,14,"A2","B1",1
"521",5,14,"A2","B1",0
"522",6,14,"A2","B1",1
"523",7,14,"A2","B1",0
"524",8,14,"A2","B1",1
"525",9,14,"A2","B1",1
"526",10,14,"A2","B1",1
"527",11,14,"A2","B1",0
"528",12,14,"A2","B1",1
"529",1,15,"A2","B1",0
"530",2,15,"A2","B1",0
"531",3,15,"A2","B1",1
"532",4,15,"A2","B1",1
"533",5,15,"A2","B1",1
"534",6,15,"A2","B1",1
"535",7,15,"A2","B1",1
"536",8,15,"A2","B1",0
"537",9,15,"A2","B1",1
"538",10,15,"A2","B1",0
"539",11,15,"A2","B1",0
"540",12,15,"A2","B1",1
"541",1,16,"A2","B1",1
"542",2,16,"A2","B1",0
"543",3,16,"A2","B1",1
"544",4,16,"A2","B1",1
"545",5,16,"A2","B1",1
"546",6,16,"A2","B1",1
"547",7,16,"A2","B1",1
"548",8,16,"A2","B1",1
"549",9,16,"A2","B1",1
"550",10,16,"A2","B1",1
"551",11,16,"A2","B1",1
"552",12,16,"A2","B1",1
"553",1,17,"A2","B1",0
"554",2,17,"A2","B1",0
"555",3,17,"A2","B1",0
"556",4,17,"A2","B1",0
"557",5,17,"A2","B1",0
"558",6,17,"A2","B1",1
"559",7,17,"A2","B1",0
"560",8,17,"A2","B1",0
"561",9,17,"A2","B1",1
"562",10,17,"A2","B1",0
"563",11,17,"A2","B1",0
"564",12,17,"A2","B1",0
"565",1,18,"A2","B1",0
"566",2,18,"A2","B1",0
"567",3,18,"A2","B1",0
"568",4,18,"A2","B1",0
"569",5,18,"A2","B1",1
"570",6,18,"A2","B1",0
"571",7,18,"A2","B1",1
"572",8,18,"A2","B1",0
"573",9,18,"A2","B1",0
"574",10,18,"A2","B1",0
"575",11,18,"A2","B1",0
"576",12,18,"A2","B1",0
"577",1,19,"A2","B1",0
"578",2,19,"A2","B1",1
"579",3,19,"A2","B1",1
"580",4,19,"A2","B1",1
"581",5,19,"A2","B1",1
"582",6,19,"A2","B1",0
"583",7,19,"A2","B1",1
"584",8,19,"A2","B1",1
"585",9,19,"A2","B1",0
"586",10,19,"A2","B1",1
"587",11,19,"A2","B1",1
"588",12,19,"A2","B1",0
"589",1,20,"A2","B1",1
"590",2,20,"A2","B1",1
"591",3,20,"A2","B1",1
"592",4,20,"A2","B1",1
"593",5,20,"A2","B1",0
"594",6,20,"A2","B1",1
"595",7,20,"A2","B1",1
"596",8,20,"A2","B1",0
"597",9,20,"A2","B1",1
"598",10,20,"A2","B1",1
"599",11,20,"A2","B1",1
"600",12,20,"A2","B1",1
"601",1,21,"A2","B1",1
"602",2,21,"A2","B1",0
"603",3,21,"A2","B1",1
"604",4,21,"A2","B1",1
"605",5,21,"A2","B1",1
"606",6,21,"A2","B1",1
"607",7,21,"A2","B1",0
"608",8,21,"A2","B1",0
"609",9,21,"A2","B1",1
"610",10,21,"A2","B1",1
"611",11,21,"A2","B1",0
"612",12,21,"A2","B1",1
"613",1,22,"A2","B1",1
"614",2,22,"A2","B1",1
"615",3,22,"A2","B1",1
"616",4,22,"A2","B1",1
"617",5,22,"A2","B1",1
"618",6,22,"A2","B1",1
"619",7,22,"A2","B1",1
"620",8,22,"A2","B1",1
"621",9,22,"A2","B1",1
"622",10,22,"A2","B1",1
"623",11,22,"A2","B1",1
"624",12,22,"A2","B1",0
"625",1,23,"A2","B1",0
"626",2,23,"A2","B1",1
"627",3,23,"A2","B1",0
"628",4,23,"A2","B1",0
"629",5,23,"A2","B1",1
"630",6,23,"A2","B1",0
"631",7,23,"A2","B1",0
"632",8,23,"A2","B1",1
"633",9,23,"A2","B1",0
"634",10,23,"A2","B1",0
"635",11,23,"A2","B1",1
"636",12,23,"A2","B1",1
"637",1,24,"A2","B1",1
"638",2,24,"A2","B1",1
"639",3,24,"A2","B1",0
"640",4,24,"A2","B1",1
"641",5,24,"A2","B1",0
"642",6,24,"A2","B1",1
"643",7,24,"A2","B1",1
"644",8,24,"A2","B1",1
"645",9,24,"A2","B1",1
"646",10,24,"A2","B1",0
"647",11,24,"A2","B1",1
"648",12,24,"A2","B1",1
"649",1,25,"A2","B1",0
"650",2,25,"A2","B1",0
"651",3,25,"A2","B1",0
"652",4,25,"A2","B1",0
"653",5,25,"A2","B1",0
"654",6,25,"A2","B1",0
"655",7,25,"A2","B1",0
"656",8,25,"A2","B1",0
"657",9,25,"A2","B1",0
"658",10,25,"A2","B1",0
"659",11,25,"A2","B1",0
"660",12,25,"A2","B1",0
"661",1,26,"A2","B1",1
"662",2,26,"A2","B1",1
"663",3,26,"A2","B1",1
"664",4,26,"A2","B1",0
"665",5,26,"A2","B1",1
"666",6,26,"A2","B1",1
"667",7,26,"A2","B1",1
"668",8,26,"A2","B1",1
"669",9,26,"A2","B1",1
"670",10,26,"A2","B1",0
"671",11,26,"A2","B1",1
"672",12,26,"A2","B1",1
"673",1,27,"A2","B1",0
"674",2,27,"A2","B1",0
"675",3,27,"A2","B1",0
"676",4,27,"A2","B1",1
"677",5,27,"A2","B1",0
"678",6,27,"A2","B1",0
"679",7,27,"A2","B1",0
"680",8,27,"A2","B1",0
"681",9,27,"A2","B1",0
"682",10,27,"A2","B1",1
"683",11,27,"A2","B1",0
"684",12,27,"A2","B1",0
"685",1,28,"A2","B1",0
"686",2,28,"A2","B1",1
"687",3,28,"A2","B1",1
"688",4,28,"A2","B1",0
"689",5,28,"A2","B1",0
"690",6,28,"A2","B1",1
"691",7,28,"A2","B1",0
"692",8,28,"A2","B1",0
"693",9,28,"A2","B1",0
"694",10,28,"A2","B1",1
"695",11,28,"A2","B1",0
"696",12,28,"A2","B1",0
"697",1,29,"A2","B1",1
"698",2,29,"A2","B1",0
"699",3,29,"A2","B1",1
"700",4,29,"A2","B1",1
"701",5,29,"A2","B1",1
"702",6,29,"A2","B1",1
"703",7,29,"A2","B1",0
"704",8,29,"A2","B1",0
"705",9,29,"A2","B1",0
"706",10,29,"A2","B1",1
"707",11,29,"A2","B1",1
"708",12,29,"A2","B1",1
"709",1,30,"A2","B1",1
"710",2,30,"A2","B1",1
"711",3,30,"A2","B1",1
"712",4,30,"A2","B1",1
"713",5,30,"A2","B1",1
"714",6,30,"A2","B1",1
"715",7,30,"A2","B1",1
"716",8,30,"A2","B1",1
"717",9,30,"A2","B1",0
"718",10,30,"A2","B1",1
"719",11,30,"A2","B1",1
"720",12,30,"A2","B1",0
"721",1,1,"A1","B2",1
"722",2,1,"A1","B2",1
"723",3,1,"A1","B2",1
"724",4,1,"A1","B2",1
"725",5,1,"A1","B2",1
"726",6,1,"A1","B2",1
"727",7,1,"A1","B2",1
"728",8,1,"A1","B2",1
"729",9,1,"A1","B2",1
"730",10,1,"A1","B2",1
"731",11,1,"A1","B2",1
"732",12,1,"A1","B2",1
"733",1,2,"A1","B2",1
"734",2,2,"A1","B2",1
"735",3,2,"A1","B2",1
"736",4,2,"A1","B2",1
"737",5,2,"A1","B2",1
"738",6,2,"A1","B2",1
"739",7,2,"A1","B2",1
"740",8,2,"A1","B2",1
"741",9,2,"A1","B2",1
"742",10,2,"A1","B2",1
"743",11,2,"A1","B2",1
"744",12,2,"A1","B2",1
"745",1,3,"A1","B2",1
"746",2,3,"A1","B2",1
"747",3,3,"A1","B2",1
"748",4,3,"A1","B2",1
"749",5,3,"A1","B2",1
"750",6,3,"A1","B2",1
"751",7,3,"A1","B2",1
"752",8,3,"A1","B2",1
"753",9,3,"A1","B2",1
"754",10,3,"A1","B2",1
"755",11,3,"A1","B2",0
"756",12,3,"A1","B2",1
"757",1,4,"A1","B2",1
"758",2,4,"A1","B2",1
"759",3,4,"A1","B2",1
"760",4,4,"A1","B2",1
"761",5,4,"A1","B2",1
"762",6,4,"A1","B2",1
"763",7,4,"A1","B2",0
"764",8,4,"A1","B2",1
"765",9,4,"A1","B2",1
"766",10,4,"A1","B2",1
"767",11,4,"A1","B2",0
"768",12,4,"A1","B2",1
"769",1,5,"A1","B2",0
"770",2,5,"A1","B2",1
"771",3,5,"A1","B2",1
"772",4,5,"A1","B2",1
"773",5,5,"A1","B2",0
"774",6,5,"A1","B2",1
"775",7,5,"A1","B2",1
"776",8,5,"A1","B2",1
"777",9,5,"A1","B2",1
"778",10,5,"A1","B2",1
"779",11,5,"A1","B2",1
"780",12,5,"A1","B2",1
"781",1,6,"A1","B2",1
"782",2,6,"A1","B2",1
"783",3,6,"A1","B2",1
"784",4,6,"A1","B2",1
"785",5,6,"A1","B2",1
"786",6,6,"A1","B2",1
"787",7,6,"A1","B2",1
"788",8,6,"A1","B2",1
"789",9,6,"A1","B2",1
"790",10,6,"A1","B2",1
"791",11,6,"A1","B2",1
"792",12,6,"A1","B2",0
"793",1,7,"A1","B2",1
"794",2,7,"A1","B2",1
"795",3,7,"A1","B2",1
"796",4,7,"A1","B2",1
"797",5,7,"A1","B2",1
"798",6,7,"A1","B2",1
"799",7,7,"A1","B2",1
"800",8,7,"A1","B2",1
"801",9,7,"A1","B2",1
"802",10,7,"A1","B2",1
"803",11,7,"A1","B2",1
"804",12,7,"A1","B2",1
"805",1,8,"A1","B2",0
"806",2,8,"A1","B2",1
"807",3,8,"A1","B2",1
"808",4,8,"A1","B2",0
"809",5,8,"A1","B2",0
"810",6,8,"A1","B2",1
"811",7,8,"A1","B2",1
"812",8,8,"A1","B2",1
"813",9,8,"A1","B2",1
"814",10,8,"A1","B2",1
"815",11,8,"A1","B2",1
"816",12,8,"A1","B2",1
"817",1,9,"A1","B2",1
"818",2,9,"A1","B2",1
"819",3,9,"A1","B2",1
"820",4,9,"A1","B2",1
"821",5,9,"A1","B2",0
"822",6,9,"A1","B2",0
"823",7,9,"A1","B2",1
"824",8,9,"A1","B2",1
"825",9,9,"A1","B2",1
"826",10,9,"A1","B2",1
"827",11,9,"A1","B2",1
"828",12,9,"A1","B2",0
"829",1,10,"A1","B2",1
"830",2,10,"A1","B2",1
"831",3,10,"A1","B2",1
"832",4,10,"A1","B2",1
"833",5,10,"A1","B2",1
"834",6,10,"A1","B2",1
"835",7,10,"A1","B2",0
"836",8,10,"A1","B2",1
"837",9,10,"A1","B2",1
"838",10,10,"A1","B2",1
"839",11,10,"A1","B2",1
"840",12,10,"A1","B2",1
"841",1,11,"A1","B2",1
"842",2,11,"A1","B2",1
"843",3,11,"A1","B2",1
"844",4,11,"A1","B2",1
"845",5,11,"A1","B2",1
"846",6,11,"A1","B2",1
"847",7,11,"A1","B2",1
"848",8,11,"A1","B2",0
"849",9,11,"A1","B2",1
"850",10,11,"A1","B2",1
"851",11,11,"A1","B2",1
"852",12,11,"A1","B2",1
"853",1,12,"A1","B2",1
"854",2,12,"A1","B2",1
"855",3,12,"A1","B2",1
"856",4,12,"A1","B2",1
"857",5,12,"A1","B2",1
"858",6,12,"A1","B2",1
"859",7,12,"A1","B2",1
"860",8,12,"A1","B2",1
"861",9,12,"A1","B2",1
"862",10,12,"A1","B2",1
"863",11,12,"A1","B2",1
"864",12,12,"A1","B2",1
"865",1,13,"A1","B2",1
"866",2,13,"A1","B2",1
"867",3,13,"A1","B2",1
"868",4,13,"A1","B2",1
"869",5,13,"A1","B2",1
"870",6,13,"A1","B2",1
"871",7,13,"A1","B2",1
"872",8,13,"A1","B2",1
"873",9,13,"A1","B2",1
